Metric,Source,n_rows,n_countries,year_min,year_max,n_numeric,pct_numeric
Field Weighted Citation Impact: All,Stanford AI Index,2639,194,1998,2019,2639,100.0
Number Of AI Publications: All,Stanford AI Index,2639,194,1998,2019,2639,100.0
Number Of AI Publications: International,Stanford AI Index,2443,189,1998,2019,2443,100.0
Field Weighted Citation Impact: International,Stanford AI Index,2443,189,1998,2019,2443,100.0
Field Weighted Citation Impact: Institutional,Stanford AI Index,2071,144,1998,2019,2071,100.0
Number Of AI Publications: Institutional,Stanford AI Index,2071,144,1998,2019,2071,100.0
Number Of AI Publications: Single_Author,Stanford AI Index,1775,137,1998,2019,1775,100.0
Field Weighted Citation Impact: Single_Author,Stanford AI Index,1775,137,1998,2019,1775,100.0
Total AI-Related Patent Publications (Applicant Origin),WIPO (World Intellectual Property Organisation),1725,115,2010,2024,1725,100.0
Number Of AI Publications: National,Stanford AI Index,1702,124,1998,2019,1702,100.0
Field Weighted Citation Impact: National,Stanford AI Index,1702,124,1998,2019,1702,100.0
WB GovTech: Public Service Delivery Index (PSDI),World Bank - GovTech Maturity Index,593,198,2020,2025,593,100.0
WB GovTech: Overall Maturity Index (GTMI),World Bank - GovTech Maturity Index,593,198,2020,2025,593,100.0
WB GovTech: Government Technology Enablers Index (GTEI),World Bank - GovTech Maturity Index,593,198,2020,2025,593,100.0
WB GovTech: Digital Citizen Engagement Index (DCEI),World Bank - GovTech Maturity Index,593,198,2020,2025,593,100.0
WB GovTech: Core Government Systems Index (CGSI),World Bank - GovTech Maturity Index,593,198,2020,2025,593,100.0
arXiv AI Publications: Total,Stanford AI Index,561,124,2015,2020,561,100.0
"Businesses receiving orders over computer networks (Transportation and storage, 10 or more)",OECD.ai,505,37,2005,2023,505,100.0
"Businesses receiving orders over computer networks (Manufacturing, 10 or more)",OECD.ai,502,37,2005,2023,502,100.0
"Businesses receiving orders over computer networks (Total - all activities, 10 or more)",OECD.ai,499,37,2005,2023,499,100.0
"Businesses receiving orders over computer networks (Total - all activities, 250 or more)",OECD.ai,498,37,2005,2023,498,100.0
"Businesses receiving orders over computer networks (Total - all activities, From 10 to 49)",OECD.ai,496,37,2005,2023,496,100.0
"Businesses with a wired or fixed wireless broadband connection (Transportation and storage, 10 or more)",OECD.ai,495,36,2005,2024,495,100.0
"Businesses receiving orders over computer networks (Total - all activities, From 50 to 249)",OECD.ai,494,37,2005,2023,494,100.0
"Businesses receiving orders over computer networks (Administrative and support service activities, 10 or more)",OECD.ai,494,36,2005,2023,494,100.0
"Businesses receiving orders over computer networks (Construction, 10 or more)",OECD.ai,492,36,2005,2023,492,100.0
"Businesses with a wired or fixed wireless broadband connection (Manufacturing, 10 or more)",OECD.ai,491,36,2005,2024,491,100.0
"Businesses receiving orders over computer networks (Accommodation and food service activities, 10 or more)",OECD.ai,490,37,2005,2023,490,100.0
"Businesses with a wired or fixed wireless broadband connection (Information and communication, 10 or more)",OECD.ai,490,36,2007,2024,490,100.0
"Businesses with a wired or fixed wireless broadband connection (Administrative and support service activities, 10 or more)",OECD.ai,485,36,2005,2024,485,100.0
"Businesses with a wired or fixed wireless broadband connection (Construction, 10 or more)",OECD.ai,484,35,2005,2024,484,100.0
"Businesses receiving orders over computer networks (Information and communication, 10 or more)",OECD.ai,482,37,2007,2023,482,100.0
"Businesses with a wired or fixed wireless broadband connection (Accommodation and food service activities, 10 or more)",OECD.ai,477,36,2005,2024,477,100.0
"Businesses with a wired or fixed wireless broadband connection (Total - all activities, 10 or more)",OECD.ai,470,36,2005,2024,470,100.0
"Businesses with a wired or fixed wireless broadband connection (Total - all activities, From 10 to 49)",OECD.ai,470,36,2005,2024,470,100.0
"Businesses with a wired or fixed wireless broadband connection (Total - all activities, From 50 to 249)",OECD.ai,470,36,2005,2024,470,100.0
"Businesses with a wired or fixed wireless broadband connection (Total - all activities, 250 or more)",OECD.ai,469,36,2005,2024,469,100.0
"Persons employed using a computer with internet access (Construction, 10 or more)",OECD.ai,468,32,2005,2024,468,100.0
Coursera: Business Proficiency Score,Coursera - Global Skills Report,465,141,2020,2024,465,100.0
"Businesses with a website or home page (Manufacturing, 10 or more)",OECD.ai,464,39,2005,2023,464,100.0
"Businesses receiving orders over computer networks (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",OECD.ai,462,35,2005,2023,462,100.0
"Businesses with a website or home page (Transportation and storage, 10 or more)",OECD.ai,461,39,2005,2023,461,100.0
"Businesses with a website or home page (Information and communication, 10 or more)",OECD.ai,455,39,2007,2023,455,100.0
"Persons employed using a computer with internet access (Manufacturing, 10 or more)",OECD.ai,455,32,2005,2024,455,100.0
"Businesses with a broadband connection includes both fixed and mobile (Total - all activities, 250 or more)",OECD.ai,455,39,2005,2024,455,100.0
"Businesses with a broadband connection includes both fixed and mobile (Total - all activities, From 50 to 249)",OECD.ai,454,38,2005,2024,454,100.0
"Persons employed using a computer with internet access (Accommodation and food service activities, 10 or more)",OECD.ai,454,32,2005,2024,454,100.0
"Businesses with a broadband connection includes both fixed and mobile (Total - all activities, From 10 to 49)",OECD.ai,454,38,2005,2024,454,100.0
"Businesses with a website or home page (Total - all activities, 10 or more)",OECD.ai,453,39,2005,2023,453,100.0
"Businesses with a broadband connection includes both fixed and mobile (Total - all activities, 10 or more)",OECD.ai,453,38,2005,2024,453,100.0
"Businesses with a website or home page (Construction, 10 or more)",OECD.ai,453,38,2005,2023,453,100.0
"Businesses with a website or home page (Total - all activities, From 10 to 49)",OECD.ai,453,39,2005,2023,453,100.0
"Businesses with a broadband connection includes both fixed and mobile (Transportation and storage, 10 or more)",OECD.ai,452,38,2005,2024,452,100.0
"Businesses with a broadband connection includes both fixed and mobile (Manufacturing, 10 or more)",OECD.ai,452,38,2005,2024,452,100.0
